text,toxic
meu nivel de amizade com isis é ela ter meu insta e eu ter o dela e quando eu penso que não ela manda mensagem “ falano otario ta falando dnv no insta”,1.0
 o cara adultera dados que foram desmascarados e ainda quer ficar no governo,1.0
   o cara só é simplesmente o maior vencedor da história de futebol tá com 36 anos e tem gás demais e não um gordo com joelho fodido,1.0
eu to chorando vei vsf e eu nem staneio izone nem nada ,1.0
"eleitor do bolsonaro é tão ignorante q não percebeu q a frase abaixo significa o seguinte

“é melhor falar um monte de bosta do que ficar calado”ainda transformaram em imagem bonitinha com citação e data hahhahahahhahahhahah",1.0
vai responder as outras 75 conversas e para de cobrar atenção caralho ,1.0
"tem um do jack com a msm música e agr não sei qual flodar 
grande dia ",0.0
mais é ruim pra pedir desafio esse técnico do azerbaijão,1.0
 eu fico vendo isso e penso desvantagens do kpop esta sendo cada vez mais difundido o millenium americano ta tão acostumado com gente que não dança e perfomances sem coreografia que quando veem dança de verdade e sincronia fica bugado,1.0
frio do caralho parece até q to dentro do teu coração,1.0
" o mentiroso
",1.0
" onde mexe fede
 
 

",1.0
meu filho vem primeiro ele é minha prioridade,0.0
hoje deu vontade de abraçar minha mãe e chorar o dia inteiro tpm seja bem vinda,0.0
"minha conta iria fazer 10 anos em abril perdeu todos os seguidores recomeçando foi suspensa dia 25 de julhoenquanto do outro lado o da criminalidade pode todos os absurdos o povo honesto e trabalhador não pode nadanão seremos adestradosnunca

 ",0.0
 não se ele tiver encomendado o serviço,0.0
   sou a favor de invadir o stf e não chegarmos lá d mãos vazias,1.0
  folha de são paulo pra mim não serve nem pra pendurar no banheiro de posto de gasolina pegar na mão então nem se falaacho que ler fotonovela se é que ainda existe é mais proveitoso,1.0
  vc deve ser louca defendi o inpe na nossa conversa ou vc é cega disléxica achei péssimo a exoneração feita hoje tenho ciência do bom trabalho q o inpe faz enfim não vou perder meu tempo com vc abraça o datafolha aí espere a virada do haddad ou ciro no segundo turno kkkkk,1.0
 nao deixa sua cabeça te fazer de maluca seu corpo é lindo assim como todos são dos seus jeitinhos vai a praia sim eu hein vou dar na sua cara,1.0
 os hormonios pulando,1.0
"hoje é caso dormir cedo
tipo um preso",1.0
e nessa loucuraaaaaa de dizer que não te querooooooooo,0.0
  eu como morador da terra do meio no pará e conselheiro de 2 ucs posso falar com segurança que os dados do inpe realmente estavam sendo manipulados por ativista travestidos de cientistas pra prejudicar a imagem do governo bolsonaro ontem o ministro salles provou isso,1.0
bixetes vem logo por favor,1.0
